City|State short|State full|County|City alias|Latitude|Longitude
Millen|GA|Georgia|JENKINS|Perkins|32.8811429|-81.9270289
Montezuma|GA|Georgia|MACON|Montezuma|32.3051576|-84.0274072
Lenox|GA|Georgia|COOK|El Dorado|31.2715768|-83.4648845
Valdosta|GA|Georgia|LOWNDES|Dasher|30.7474278|-83.220704
Zebulon|GA|Georgia|PIKE|Zebulon|33.1023454|-84.3426997
Camilla|GA|Georgia|MITCHELL|Camilla|31.2312933|-84.21046109999999
Winston|GA|Georgia|DOUGLAS|Winston|33.727253|-84.8244225
Jekyll Island|GA|Georgia|GLYNN|Jekyll Island|31.07349189999999|-81.4114142
Irwinton|GA|Georgia|WILKINSON|Irwinton|32.8112594|-83.1726541
Cecil|GA|Georgia|COOK|Cecil|31.0454716|-83.3921031
Alma|GA|Georgia|BACON|Rockingham|31.5393701|-82.4623557
Allenhurst|GA|Georgia|LIBERTY|Allenhurst|31.7841014|-81.60761169999999
Grayson|GA|Georgia|GWINNETT|Grayson|33.8942729|-83.95573999999999
Bainbridge|GA|Georgia|DECATUR|West Bainbridge|30.9251879|-84.58324789999999
Kite|GA|Georgia|JOHNSON|Kite|32.6923836|-82.5145752
Midville|GA|Georgia|BURKE|Midville|32.8190456|-82.2348455
Palmetto|GA|Georgia|FULTON|Chattahoochee Hills|33.5178907|-84.66965479999999
Commerce|GA|Georgia|JACKSON|Baker-Taylor|34.2183232|-83.48311869999999
Putney|GA|Georgia|DOUGHERTY|Putney|31.4701766|-84.117684
Roopville|GA|Georgia|CARROLL|Ephesus|33.4565021|-85.1307779
Union Point|GA|Georgia|GREENE|Penfld|33.6154317|-83.0776247
Woodbine|GA|Georgia|CAMDEN|Woodbine|30.9638429|-81.7226063
Eatonton|GA|Georgia|PUTNAM|Eatonton|33.3267997|-83.3884961
Cedartown|GA|Georgia|POLK|Cedartown|34.0112715|-85.25658229999999
Tybee Island|GA|Georgia|CHATHAM|Tybee Island|32.0002152|-80.845666
Rising Fawn|GA|Georgia|DADE|Rising Fawn|34.7600791|-85.531076
Lincolnton|GA|Georgia|LINCOLN|Amity|33.6463399|-82.4783101
Peachtree City|GA|Georgia|FAYETTE|Peachtree Cty|33.3968557|-84.59634319999999
Waco|GA|Georgia|HARALSON|Waco|33.6888258|-85.18826880000002
Chestnut Mountain|GA|Georgia|HALL|Chestnut Mountain|34.1726039|-83.8379544
Warner Robins|GA|Georgia|HOUSTON|Robins A F B|32.6400014|-83.591719
Vidalia|GA|Georgia|TOOMBS|Vidalia|32.2176855|-82.4134614
Townsend|GA|Georgia|MCINTOSH|Shellman Blf|31.5833847|-81.3756224
Avera|GA|Georgia|JEFFERSON|Avera|33.1940354|-82.5270728
Omaha|GA|Georgia|STEWART|Omaha|32.1465241|-85.01335089999999
Fort Valley|GA|Georgia|PEACH|Fort Valley|32.5537585|-83.8874084
Fort Oglethorpe|GA|Georgia|CATOOSA|Rossville|34.9831309|-85.2860676
Atlanta|GA|Georgia|COBB|Atlanta|33.7489954|-84.3879824
Rossville|GA|Georgia|WALKER|Rossville|34.9831309|-85.2860676
Whitesburg|GA|Georgia|CARROLL|Whitesburg|33.4940017|-84.91382829999999
Bogart|GA|Georgia|OCONEE|Bogart|33.949281|-83.53460799999999
North Metro|GA|Georgia|GWINNETT|Duluth|33.9809214|-84.1525317
Ludowici|GA|Georgia|LONG|Bayview|31.7079919|-81.7423357
Matthews|GA|Georgia|JEFFERSON|Wrens|33.2076456|-82.391792
Stephens|GA|Georgia|OGLETHORPE|Stephens|33.794843|-83.1615422
Stone Mountain|GA|Georgia|DEKALB|Stone Mountain|33.8081608|-84.17019599999999
Morris|GA|Georgia|QUITMAN|Morris|31.7943293|-84.9463145
Menlo|GA|Georgia|CHATTOOGA|Cloudland|34.484808|-85.4763492
Atlanta|GA|Georgia|COBB|Vinings|33.8648262|-84.4643744
Atlanta|GA|Georgia|FULTON|Fort Mcpherson|33.7077085|-84.4356468
Blythe|GA|Georgia|RICHMOND|Ellwood|33.2926427|-82.2015103
Meridian|GA|Georgia|MCINTOSH|Meridian|31.45189|-81.3778777
Rockmart|GA|Georgia|POLK|Braswell|33.9996645|-85.0152825
Midland|GA|Georgia|MUSCOGEE|Midland|32.5752141|-84.8281267
Mount Berry|GA|Georgia|FLOYD|Rome|34.275093|-85.1832843
Waresboro|GA|Georgia|WARE|Waresboro|31.2479915|-82.47374800000001
Dacula|GA|Georgia|GWINNETT|Dacula|33.9887165|-83.8979573
Davisboro|GA|Georgia|WASHINGTON|Davisboro|32.97904250000001|-82.60790949999999
Axson|GA|Georgia|ATKINSON|Axson|31.2763162|-82.7343089
Atlanta|GA|Georgia|FULTON|North Highland Finance|33.8520311|-84.3662805
Buena Vista|GA|Georgia|MARION|Buena Vista|32.3190398|-84.51714109999999
Newnan|GA|Georgia|COWETA|Raymond|33.3387284|-84.7146546
